variant,verify,artifacts_size
P-256,134.86583216644232,120509.35754707434
P-256,139.7476265586676,124855.4348160347
P-256,134.85036942204505,120485.86713132412
P-256,139.45761543990983,124625.72896503382
P-256,140.00885554149625,124997.30917985183
P-256,135.70026446898194,121206.87513524867
P-256,136.14578776994324,121597.96346218794
P-256,137.0772923257922,122453.90356105754
P-256,137.4737049511213,122792.93531934936
P-256,138.3816445099235,123648.8540232626
P-256,140.66872767017776,125616.72273133155
P-256,135.88529264795037,121376.97565026928
P-256,141.24307729250995,126267.38836119913
P-256,135.55618215579975,121025.68602579483
P-256,134.97701007897714,120538.37593966196
P-256,137.6013411722771,122968.40995080437
P-256,137.74938265647137,122985.86627658868
P-256,141.1060984508422,126121.40462544323
P-256,140.28719876327798,125375.97342109885
P-256,139.3220493353896,124519.80564054695
P-256,138.00888262067704,123289.8312014421
P-256,141.29954090785765,126187.54229234549
P-256,138.9763298123636,124043.18599129023
P-256,137.9295118452145,123201.37155980963
P-256,135.72053286436196,121204.05366765914
P-256,135.06767464874963,120644.2880356638
P-256,138.14944689285417,123320.95545911779
P-256,137.24724686749815,122613.23497340182
P-256,133.48559160065327,119295.12276373297
P-256,135.6921994323158,121101.28182409267
P-256,135.55833473247705,121159.76651177969
P-256,134.08471891866154,119818.97802792197
P-256,139.6299171876977,124741.06517397998
P-256,136.47253285442685,121949.4254104973
P-256,137.45829480349727,122881.08373965714
P-256,134.2358108677298,120060.76653333142
P-256,136.94755106675746,122400.52756880876
P-256,134.4502197111451,120108.80876300135
P-256,137.1534841079688,122409.69329415665
P-256,136.39173653680496,121833.21751927258
P-256,140.80099953480774,125792.56225952679
P-256,134.70874701021154,120443.57537388841
P-256,132.22726079869489,118097.20686583946
P-256,136.69554974713765,122038.65542581888
P-256,138.65141392955394,123871.14566413997
P-256,139.52979024905784,124602.79965534934
P-256,135.21409763011877,120803.94069231593
P-256,138.73776330800342,123886.81615552484
P-256,139.49843962887059,124596.77815279407
P-256,134.70190889689297,120168.67968474244
P-256,134.45262980225354,120104.52703049888
P-256,139.82868814742713,124797.01302558248
P-256,135.8450904108737,121458.96227010734
P-256,137.9896554206904,123265.88609981217
P-256,128.93200089148013,115393.72462017748
P-256,138.58123181924333,123884.7009239614
P-256,140.54350784642907,125491.83236742437
P-256,137.98682332275632,123251.65346624532
P-256,140.43431260459204,125453.60904108966
P-256,136.2197272453823,121683.28500248925
P-256,136.6984503698656,122128.34633818861
