variant,mean_verify,std_verify,mean_artifacts_size,std_artifacts_size
Dilithium2,46.13893305643362,0.8066757839311345,4192065.0977132795,73247.12048490715
Dilithium3,72.35382614161334,1.3352781295155818,5696340.768920635,105010.1639273966
Dilithium5,111.91628150778774,2.083174788037118,7946097.4293011185,147829.18308437124
Falcon-1024,154.4117458880248,2.6616817664040644,2200113.963075505,37918.15810872705
Falcon-512,82.5988812561287,1.4822032344230298,1134620.2570667893,20369.424974403457
Falcon-padded-1024,153.56157921561208,2.781976787621888,2214517.6386374664,40106.20101292538
Falcon-padded-512,82.3246632269892,1.4538056632413798,1152953.824494419,20331.815211970574
MAYO-2,42.17606941838065,0.7227259287950707,316657.70572380687,5408.168002203441
MAYO-3,146.58357472124513,2.515979756842124,1000649.9630756931,17167.966261367794
MAYO-5,293.1305663542074,4.867941561587016,1455792.8076565124,24153.736944500542
ML-DSA-44,46.08756794083006,0.8112223907956162,4190857.1271872856,73686.1646400407
ML-DSA-65,72.44695575818521,1.4633355305315694,5725132.56251238,115673.18158166099
ML-DSA-87,112.44707776952936,1.923395480998053,8009311.387534517,136951.12005288267
P-256,137.44142217061147,2.3994216013269685,122784.0207521412,2143.3313132458234
P-384,786.6957790595318,14.83003080268608,177990.691233251,3353.804478436026
P-521,891.6874775161633,17.348441570178814,239613.50036356488,4662.542266304002
SPHINCS+-SHA2-128f-simple,1053.7787980039723,18.47137143377924,29545080.78047285,517365.5755148722
SPHINCS+-SHA2-128s-simple,425.88964378136313,7.245417248540442,13590719.475751905,231206.32438330151
SPHINCS+-SHA2-192f-simple,1491.5967397272434,24.999902384354886,61722115.61090094,1034527.7778284544
SPHINCS+-SHA2-192s-simple,625.6056565833477,11.640106036285825,28041463.6632256,521479.15812168067
SPHINCS+-SHA2-256f-simple,1527.7743596415385,28.811751417493678,86150641.64521925,1625217.8396140928
SPHINCS+-SHA2-256s-simple,863.1957277934125,15.7996771798359,51475802.69315564,941663.4931725025
SPHINCS+-SHAKE-128f-simple,1629.4100869154113,27.640792973368228,29597165.28366357,502430.7334389824
SPHINCS+-SHAKE-128s-simple,613.5498371544763,10.599466954710836,13594288.909768535,234960.60601909526
SPHINCS+-SHAKE-192f-simple,2322.988347225794,40.774308446243886,61697792.98955721,1082872.5755431706
SPHINCS+-SHAKE-192s-simple,870.2215346910411,14.244824219783265,28080675.310986284,459860.98763623013
SPHINCS+-SHAKE-256f-simple,2332.1107741897654,40.322991213458344,86261845.70194867,1490990.1323216474
SPHINCS+-SHAKE-256s-simple,1223.2833646141494,21.529090995806406,51566688.50703372,907361.6502188521
cross-rsdp-128-balanced,785.4516186763349,14.257235894675661,22341780.274841275,405343.6073931103
cross-rsdp-128-fast,434.8722292914166,7.779682675521101,33126964.355955444,592757.3682086379
cross-rsdp-128-small,2977.2908427813595,53.08408552017379,17430336.619609095,310780.777146035
cross-rsdp-192-balanced,1751.911093899378,29.91852245440187,48844473.11618548,834024.4711924011
cross-rsdp-192-fast,973.4451170625729,16.849409899969324,73813877.42879683,1278477.6767362284
cross-rsdp-192-small,4165.670547452467,74.88068977165032,40888165.900264114,735058.2713143463
cross-rsdp-256-balanced,2902.4796024945795,51.11025221224599,88379853.77739455,1556482.896857429
cross-rsdp-256-fast,1724.4339753538168,28.011896195252422,132126830.3755635,2146240.2764385366
cross-rsdp-256-small,5551.796517139919,101.39416516393712,75408501.94172545,1377375.9682808393
cross-rsdpg-128-balanced,557.2477832064078,9.428216449589184,15972785.643593282,270070.9787326816
cross-rsdpg-128-fast,301.56006345166475,5.547902652706588,21560876.78247098,396701.73530442646
cross-rsdpg-128-small,1960.8192723653124,35.18638755118158,13758264.612813918,246826.44691551707
cross-rsdpg-192-balanced,800.5226829285787,13.967454592008615,40469626.93092589,706093.9386852562
cross-rsdpg-192-fast,688.2217004834846,11.478855081744223,47410804.19715532,790977.011867276
cross-rsdpg-192-small,2918.1083750571042,50.571813281073275,31480006.465526424,545693.2419533505
cross-rsdpg-256-balanced,1392.550144380157,25.32441079468654,69402829.89023603,1262317.5784089086
cross-rsdpg-256-fast,1168.4795389629057,20.75015342459239,84692302.07598437,1503934.929462271
cross-rsdpg-256-small,3790.756621115284,65.09270626169692,56680278.448193066,972973.9489171946
