variant,mean_verify,std_verify
Dilithium2,52.77834740136581,1.0478477468708387
Dilithium3,93.57674693532826,6.215913485751032
Dilithium5,126.02291954995003,2.232501569265514
Falcon-1024,160.28658138709054,2.7202365724333304
Falcon-512,85.60978510656548,1.6025477496324323
Falcon-padded-1024,157.36248857087912,2.9523433778708026
Falcon-padded-512,82.3976232129539,1.4205550962057256
MAYO-2,30.28399307511299,0.5610888177535576
MAYO-3,104.2848951644874,1.9204050258651917
MAYO-5,200.4915768765521,3.4122777924257166
ML-DSA-44,53.925383211856804,1.0030934431605107
ML-DSA-65,89.01218003435325,1.9519777319202487
ML-DSA-87,139.8728457532623,2.4306362999664723
P-256,138.34118931553328,2.6221057131751015
P-384,763.1344145424092,13.381966671537944
P-521,870.6517675682018,15.612606409283666
SPHINCS+-SHA2-128f-simple,1010.0903508217949,17.46449920356997
SPHINCS+-SHA2-128s-simple,425.6467263822864,7.691504265922416
SPHINCS+-SHA2-192f-simple,1548.2760885567036,27.546408593128163
SPHINCS+-SHA2-192s-simple,700.2734302055621,13.291008121105506
SPHINCS+-SHA2-256f-simple,1563.970987733001,28.38025334724187
SPHINCS+-SHA2-256s-simple,939.7501779508048,18.083785881579825
SPHINCS+-SHAKE-128f-simple,1674.5242044316583,30.89366771587426
SPHINCS+-SHAKE-128s-simple,672.700443969263,12.275601646074968
SPHINCS+-SHAKE-192f-simple,2413.5847181235918,44.86984786540097
SPHINCS+-SHAKE-192s-simple,940.5632246394807,17.063190568135326
SPHINCS+-SHAKE-256f-simple,2448.6519121290426,42.81112227512601
SPHINCS+-SHAKE-256s-simple,1304.1568053156666,23.345962629439768
cross-rsdp-128-balanced,791.8000691471273,14.915265870267019
cross-rsdp-128-fast,428.22898350849925,7.693796033214429
cross-rsdp-128-small,3101.7124471387506,53.74985819277847
cross-rsdp-192-balanced,1779.631302669884,32.43367836869254
cross-rsdp-192-fast,983.715500927739,17.37300071493735
cross-rsdp-192-small,4251.55933281236,72.22628188640874
cross-rsdp-256-balanced,2879.2661823899275,50.8146595193979
cross-rsdp-256-fast,1718.774793031862,29.884734159202768
cross-rsdp-256-small,5591.425599893095,95.98565619568606
cross-rsdpg-128-balanced,536.8872687711508,9.468861062944345
cross-rsdpg-128-fast,304.6501190608795,5.290025907998866
cross-rsdpg-128-small,1890.0435295792802,35.04352305249037
cross-rsdpg-192-balanced,824.5034670337723,14.855821532085578
cross-rsdpg-192-fast,707.387575917612,13.35485820380296
cross-rsdpg-192-small,3040.788208935294,57.00718132869882
cross-rsdpg-256-balanced,1342.0947165082023,23.846935125863347
cross-rsdpg-256-fast,1131.9052041508778,21.963337723445832
cross-rsdpg-256-small,3567.8145843114135,66.43698891658154
