variant,mean_verify,std_verify
Dilithium2,39.506700266288924,0.7196535471603346
Dilithium3,63.274051157935304,1.0821385996170565
Dilithium5,97.51880320989189,1.6851253869993166
Falcon-1024,132.8842635800708,2.2323074449139106
Falcon-512,73.13736916274841,1.289258529349124
Falcon-padded-1024,131.44024030693913,2.368917851316832
Falcon-padded-512,72.39436777088571,1.2183464860824522
MAYO-2,35.85531421145609,0.6471804889248195
MAYO-3,126.42644767518989,2.191771196142759
MAYO-5,253.9743369177389,4.637231414032648
ML-DSA-44,39.7971502158344,0.7115208285462701
ML-DSA-65,63.15908061796162,1.127143509210172
ML-DSA-87,96.86705227048292,1.8194008635991252
P-256,118.73907698351745,2.2498555718065627
P-384,678.8445793655872,11.39645795916733
P-521,771.6243746048174,13.212238806128038
SPHINCS+-SHA2-128f-simple,895.4899891549076,15.116233732789981
SPHINCS+-SHA2-128s-simple,363.64381190751646,6.113285860370049
SPHINCS+-SHA2-192f-simple,1267.0512627755504,21.774645073101215
SPHINCS+-SHA2-192s-simple,537.7959701687942,9.942684459054309
SPHINCS+-SHA2-256f-simple,1306.9004001880114,24.227486537660894
SPHINCS+-SHA2-256s-simple,741.8184803116537,13.671255005342687
SPHINCS+-SHAKE-128f-simple,1377.1184692978961,23.620966937594094
SPHINCS+-SHAKE-128s-simple,518.8388047292267,8.951056871662894
SPHINCS+-SHAKE-192f-simple,1988.3859331527099,36.32970874209985
SPHINCS+-SHAKE-192s-simple,733.57322708819,12.94872827863207
SPHINCS+-SHAKE-256f-simple,2009.6727192296935,36.20704567092582
SPHINCS+-SHAKE-256s-simple,1045.6898455427167,18.733211312045412
cross-rsdp-128-balanced,671.3439012499922,12.136290359004205
cross-rsdp-128-fast,377.86228366555974,6.738268203068866
cross-rsdp-128-small,2648.6792410313187,50.820585009752534
cross-rsdp-192-balanced,1466.3864702840674,27.379923917640426
cross-rsdp-192-fast,824.5140694462701,14.561139531469633
cross-rsdp-192-small,3483.6000026342526,63.21690616126499
cross-rsdp-256-balanced,2561.045438200213,42.21137766316978
cross-rsdp-256-fast,1512.3221839820017,29.107578476184578
cross-rsdp-256-small,4901.674719587048,79.2460081747728
cross-rsdpg-128-balanced,472.5665605090577,8.135188812044824
cross-rsdpg-128-fast,261.6518141772774,4.431992968751361
cross-rsdpg-128-small,1691.8037349414083,30.576586882289913
cross-rsdpg-192-balanced,733.8188447764976,12.904062427013331
cross-rsdpg-192-fast,619.2141607042173,10.61599436937695
cross-rsdpg-192-small,2619.9007564479853,46.591295091010736
cross-rsdpg-256-balanced,1133.9720503508172,19.534162675636882
cross-rsdpg-256-fast,1012.5485196411097,17.46240560120514
cross-rsdpg-256-small,3014.3928078587724,49.887384791864775
