variant,verify
P-256,117.16145145879047
P-256,115.71636371025139
P-256,113.35956640778186
P-256,114.46104340195367
P-256,115.64973872111695
P-256,113.11823201420393
P-256,114.79945294669415
P-256,112.88815198961886
P-256,113.3235220707051
P-256,113.70087980972303
P-256,113.19628810288829
P-256,113.57533037194257
P-256,113.05095536763966
P-256,112.92328329573591
P-256,115.41608524066315
P-256,114.52735930699389
P-256,111.76163434242604
P-256,113.7127889262141
P-256,113.44486863330093
P-256,112.5717016913503
P-256,110.6514119990911
P-256,108.37965170090871
P-256,113.77572110067887
P-256,107.3865507177189
P-256,110.83046853774255
P-256,113.24271259874077
P-256,115.05056712095404
P-256,113.74692120224503
P-256,116.18671759302228
P-256,115.44972396325389
P-256,113.40547351933891
P-256,114.05000846738751
P-256,116.75031233300719
P-256,111.52734678823634
P-256,116.0409842691648
P-256,111.80354962508395
P-256,114.30480105966394
P-256,116.06205781598838
P-256,114.66730683981302
P-256,115.19319727031024
P-256,114.3700765658039
P-256,113.83834573133888
P-256,113.38383594200904
P-256,116.4209127706759
P-256,115.8319495785757
P-256,110.91127213962989
P-256,112.55442498621953
P-256,116.47199251480625
P-256,111.85192900787463
P-256,120.00142792948884
P-256,111.26039590840792
P-256,114.33119033502115
P-256,109.26115747196201
P-256,117.80710573158706
P-256,111.92101115042352
P-256,113.2082154562401
P-256,112.71376569518182
P-256,111.37336630997275
P-256,111.42986653329278
P-256,113.88623706747671
P-256,118.01353155069812
P-256,105.94665012843103
P-256,117.28862276041495
P-256,115.1412523240407
P-256,110.74894131052703
P-256,118.2042361641322
P-256,115.07290151139254
P-256,110.35737188300966
P-256,113.69990980765557
P-256,114.90002937824977
P-256,115.81310857172315
P-256,116.51164731590505
P-256,112.12673650058012
P-256,115.72583364618995
P-256,116.1150010236017
P-256,115.0982032402758
P-256,111.75533035330095
P-256,113.34165586007042
P-256,110.6299366029772
P-256,118.04458918426842
P-256,111.96118727414645
P-256,111.65501162394905
P-256,115.18612135523675
P-256,107.1232800269939
P-256,113.30328561387995
P-256,114.02588785503798
P-256,114.63168443023271
P-256,111.90515260551975
P-256,113.7370604300537
P-256,110.78876220660764
P-256,113.88050227590118
P-256,111.11538679745273
P-256,112.87794303641564
P-256,116.60103721431032
P-256,115.67846945203544
P-256,113.49109545136207
P-256,113.27389801194063
P-256,113.00300864885257
P-256,111.94409673757477
P-256,116.77780201480962
P-256,115.08677856011474
P-256,115.49203745687161
P-256,113.6824998489265
P-256,110.99456354774829
P-256,114.94387753828886
P-256,116.21651948490623
P-256,117.25258581316243
P-256,112.01766334461328
P-256,113.75541611926313
P-256,113.38674104116294
P-256,115.29485459136734
P-256,113.23073177733104
P-256,112.47716669138316
P-256,107.61423940897288
P-256,113.9450758665041
P-256,111.71434291217092
P-256,115.94177511516048
P-256,115.70503847948837
P-256,112.77162551120553
P-256,114.75966236060523
P-256,115.9626441876527
P-256,110.634679834425
P-256,109.8454307449696
P-256,116.60864155465008
P-256,116.73322763826845
P-256,117.70465931421144
P-256,114.68394624708958
P-256,115.58078409278589
P-256,113.0000418260141
P-256,114.7173115107216
P-256,114.82357417490952
P-256,115.37413590612671
P-256,116.87311073145173
P-256,115.29275617963519
P-256,111.6569563599405
P-256,117.14778284790327
P-256,110.59860781127722
P-256,115.90464846536791
P-256,116.13686663895592
P-256,115.08757658972733
P-256,111.39682110065355
P-256,117.45846166739257
P-256,114.13696432402048
P-256,115.23661107892605
P-256,110.42151424517222
P-256,112.37797351984867
P-256,117.44855216226105
P-256,111.88286074235404
P-256,113.66164217834037
P-256,114.28130192642519
P-256,113.21593645190485
P-256,115.73432503457539
P-256,113.72349061894624
P-256,112.32860379876067
P-256,112.49036399211538
P-256,113.31220054794646
P-256,111.823173753992
P-256,113.49611545506612
P-256,115.39416515211762
P-256,110.57882005036561
P-256,113.48260492357575
P-256,111.10731358294578
P-256,115.9944002924675
P-256,110.35549098254201
P-256,114.45828031098394
P-256,112.93063110421738
P-256,115.88643584716661
P-256,109.7597470046199
P-256,113.82150735841509
P-256,112.38437492342065
P-256,111.5389648625377
P-256,108.18670024869381
P-256,115.89341360624566
P-256,115.72760538682212
P-256,110.33675188056073
P-256,114.69854557920436
P-256,113.80891520205303
P-256,116.20035366228637
P-256,112.89058150756358
P-256,114.49991463968279
P-256,113.53492746937359
P-256,114.24320129154984
P-256,114.40088172058773
P-256,115.72484822652038
P-256,115.5369537803324
P-256,109.96865094547772
P-256,116.08884411026642
P-256,110.14616776515362
P-256,108.7164497458803
P-256,108.3570704695767
P-256,111.54386420932445
P-256,113.24672660016284
P-256,113.56505933056704
P-256,111.67096509010211
P-256,116.56319168890472
P-256,109.99977150190138
P-256,115.4832188675077
P-256,110.5114645672905
P-256,113.30822714860703
P-256,119.67656780826326
P-256,115.90229810793474
P-256,111.45800538302974
P-256,111.14979304964461
P-256,113.46778449404763
P-256,115.09860558688318
P-256,117.54107643637865
P-256,115.67419973082077
P-256,111.69461556811036
P-256,113.51109728820019
P-256,114.9630258296117
P-256,116.2425746980057
P-256,113.52462865288796
P-256,115.07936864607085
P-256,116.31336985970455
P-256,116.73941534209732
P-256,112.17133305045103
P-256,114.25131487574106
P-256,111.48479594458348
P-256,111.43866022915215
P-256,112.59165841449449
P-256,114.10914145120688
P-256,114.84208731788867
P-256,116.61446583035911
P-256,118.45996304871781
P-256,116.09735103517993
P-256,111.63980546768099
P-256,110.38283090512552
P-256,111.7029358851048
P-256,112.6928891466788
P-256,112.89030032396893
P-256,111.78882220959167
P-256,115.87549254381697
P-256,114.27115374708
P-256,110.69282990505945
P-256,114.2501770880455
P-256,115.76415432123484
