variant,mean_verify,std_verify
Dilithium2,54.40513953612463,1.0901684422886204
Dilithium3,85.97510202580759,1.7332180104233679
Dilithium5,144.16215875986273,2.8727456198426373
Falcon-1024,71.63624362277768,1.429626531874526
Falcon-512,39.85352925026826,0.7905314579126425
Falcon-padded-1024,70.25820153245711,1.3865122844393796
Falcon-padded-512,38.88995307051249,0.7547558297993142
MAYO-2,275.0389266483755,5.491098207798994
MAYO-3,868.1485009197977,17.47809234207689
MAYO-5,2185.146527417496,41.36081524014234
ML-DSA-44,95.50842068168862,1.89270416111361
ML-DSA-65,143.99407620581812,2.847556836228641
ML-DSA-87,224.10014585001554,4.403046730987977
P-256,113.61136703267049,2.4240920263366545
P-384,458.0387504446721,9.150996081150806
P-521,780.3048591190976,15.631516843900423
SPHINCS+-SHA2-128f-simple,2930.3780109974846,60.747070676694065
SPHINCS+-SHA2-128s-simple,1027.0772859190045,19.46089864894946
SPHINCS+-SHA2-192f-simple,4372.091652054408,86.11098392018603
SPHINCS+-SHA2-192s-simple,1494.067096727373,29.462433909446023
SPHINCS+-SHA2-256f-simple,4412.73443383798,86.74232287999313
SPHINCS+-SHA2-256s-simple,2186.0787358770235,43.75103065569828
SPHINCS+-SHAKE-128f-simple,1931.9111352014336,38.978801686520974
SPHINCS+-SHAKE-128s-simple,675.1177059934612,13.596169582666958
SPHINCS+-SHAKE-192f-simple,2789.162078095054,53.89542096768974
SPHINCS+-SHAKE-192s-simple,978.7481878574189,20.061370206447915
SPHINCS+-SHAKE-256f-simple,2858.4368554767248,57.94624756629915
SPHINCS+-SHAKE-256s-simple,1458.4791616036264,28.4912014912746
cross-rsdp-128-balanced,553.7329246363689,10.77791046903257
cross-rsdp-128-fast,305.05479004807097,5.987526783860048
cross-rsdp-128-small,2044.0742591257188,41.27747083874535
cross-rsdp-192-balanced,1177.1593031959376,22.6386551152283
cross-rsdp-192-fast,730.6740900946508,14.292168788717618
cross-rsdp-192-small,2730.88690240264,54.70629733142187
cross-rsdp-256-balanced,2060.0275996160453,40.82345132317284
cross-rsdp-256-fast,1468.157721428378,29.428318680638565
cross-rsdp-256-small,3660.7638885990123,71.67682498033385
cross-rsdpg-128-balanced,468.60977785411484,9.612231221163414
cross-rsdpg-128-fast,245.57043943464072,4.965552764865311
cross-rsdpg-128-small,1691.5083960843067,34.152725088397695
cross-rsdpg-192-balanced,690.6029646260769,13.952392492970409
cross-rsdpg-192-fast,568.128439831875,10.871121627467357
cross-rsdpg-192-small,2542.5720863956685,50.29983921826785
cross-rsdpg-256-balanced,1133.612149994678,22.841739634545
cross-rsdpg-256-fast,925.6082571660274,18.353379808310308
cross-rsdpg-256-small,3080.45299151928,60.958660390941354
