variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify,mean_sigSize,std_sigSize
P-256,0.2793427160999158,0.0440410649993677,0.516212274500458,0.0673146792143736,0.8614587440998661,0.0624736012566065,71.0024,0.7119304211033896
P-384,1.124096732599628,0.0543249829198164,1.9135795319998352,0.0851278035368537,3.470921701100008,0.0850661111823489,102.9913,0.7097004138844389
P-521,1.693463521399974,0.0661393448939383,3.378499957199449,0.0974756760027847,5.921491090499967,0.1050432592260986,138.5012,0.6172816728741993
ML-DSA-44,0.6438736252993522,0.0374522158265021,3.259381494099739,2.1749966977968653,0.7230649075003612,0.0343430134289927,2420.0,0.0
ML-DSA-65,1.0141580741995655,0.0427919183219138,5.2806046136993245,3.683788220370092,1.092682105999495,0.0396003053686261,3309.0,0.0
ML-DSA-87,1.5764812146010627,0.0482441231382457,6.269553679100909,3.893038531995284,1.699901775000467,0.0544813576050657,4627.0,0.0
Dilithium2,0.4327532315983717,0.0340026609794727,1.1671949682996456,0.652940665809267,0.4126649145001465,0.028439461118824,2420.0,0.0
Dilithium3,0.7141628003014603,0.0446346862865784,1.7801003512015086,0.9960988160751616,0.652362160799521,0.0357017944052353,3293.0,0.0
Dilithium5,1.1530915306989982,0.0574724273677261,2.301724573899719,1.0197950602696018,1.0926778080002577,0.0456979821566209,4595.0,0.0
SPHINCS+-SHA2-128s-simple,1030.3131472209047,0.3822686665924403,7830.004200573319,1.24277590198099,7.779580930569864,0.2855963349775433,7856.0,0.0
SPHINCS+-SHA2-192s-simple,1495.9950103848284,0.4046983771755792,13642.232642344476,2.2754318889115512,11.330455329079996,0.2914210629936299,16224.0,0.0
SPHINCS+-SHA2-256s-simple,984.5512511380598,0.5359009357868236,12001.732341131084,2.673318567024198,16.578862758621106,0.407028431269378,29792.0,0.0
SPHINCS+-SHA2-128f-simple,16.093153402133613,0.0564108593496794,373.8141483584419,0.3247932179706695,22.23288073262665,0.5083187239397977,17088.0,0.0
SPHINCS+-SHA2-192f-simple,23.933917984884467,0.0783034651293298,622.3998595256417,0.4033663145457098,33.12678120033233,0.525157770857165,35664.0,0.0
SPHINCS+-SHA2-256f-simple,62.90944180142251,0.1426897786481218,1274.7067755863536,0.3630204394237619,33.45673289212864,0.5958761001365385,49856.0,0.0
SPHINCS+-SHAKE-128s-simple,669.5712084829341,0.4446484283622828,5089.936379474158,1.228206487356445,5.115427607524907,0.1857660178061188,7856.0,0.0
SPHINCS+-SHAKE-192s-simple,986.7996427002248,0.7075437969111287,8859.920405424393,1.8550545234860691,7.420269818860106,0.1935870636330248,16224.0,0.0
SPHINCS+-SHAKE-256s-simple,662.3240003079293,0.7360032342884683,7916.676267264994,2.198610847407082,11.056175875396002,0.2771904823642651,29792.0,0.0
SPHINCS+-SHAKE-128f-simple,10.749204123858362,0.0781333791643044,248.73673178699104,0.5532031355202043,14.663745476177429,0.3428461665150348,17088.0,0.0
SPHINCS+-SHAKE-192f-simple,15.335857026069425,0.0917331352896954,393.738473115745,0.6348754671198269,21.139029859541917,0.3478826878458663,35664.0,0.0
SPHINCS+-SHAKE-256f-simple,40.91706487432821,0.1646422207196204,820.4987779429415,0.7201957158273818,21.686831077490933,0.3906270267874889,49856.0,0.0
Falcon-512,44.13045388570754,12.827639153798524,1.484093170030974,0.0886625713303791,0.3021822146722115,0.0403648708875997,655.0565,2.1912525889981023
Falcon-1024,122.437491190515,30.918596835009406,2.9323402452981098,0.100575789048248,0.5433245455380529,0.0523755619933248,1270.6912,3.0950283488278587
Falcon-padded-512,44.12899556603516,12.723543755500572,1.4817251703701912,0.088890681959304,0.2947777060442604,0.0294320459761828,666.0,0.0
Falcon-padded-1024,122.14568165544188,31.58228186104827,2.946264338481705,0.1231182339782907,0.532630326168146,0.0310451585477448,1280.0,0.0
MAYO-2,4.96128499902552,0.0663593883769997,6.6674029574962335,0.1185062704298111,2.08466998237418,0.1180593699624853,180.0,0.0
MAYO-3,8.341946996108163,0.0745459376315743,18.122376239392903,0.2203811903214494,6.585395044053439,0.2437717044113079,577.0,0.0
MAYO-5,21.568717797310093,0.1103446010737505,46.66336914438288,0.3658314341831495,16.5497341188835,0.5911329589365014,838.0,0.0
cross-rsdp-128-small,0.2713287258869968,0.0216027068428003,26.09272579782409,0.1747597806045742,15.485178792732768,0.1251910785709943,10080.0,0.0
cross-rsdp-192-small,0.414888705080375,0.0257486520179627,38.80591356493533,0.2789700626551375,20.708775985159445,0.1739807963129489,23642.0,0.0
cross-rsdp-256-small,0.6186322853085585,0.0282362899310081,59.04393439802807,0.3001360179723326,27.748126224486622,0.1964423379815193,43592.0,0.0
cross-rsdpg-128-small,0.2076204533455893,0.0195409112808993,19.729952174646314,0.1531557513306363,12.826825203979388,0.1197979451895727,7956.0,0.0
cross-rsdpg-192-small,0.2649126617237926,0.0217970781967536,29.924580530787352,0.1962725660976261,19.285478116187733,0.1483077824259251,18188.0,0.0
cross-rsdpg-256-small,0.3256393601070158,0.0249590322795117,38.469317234726624,0.2345415945322214,23.354751480557024,0.1800192923311802,32742.0,0.0
cross-rsdp-128-balanced,0.2365540186990983,0.0250851634936613,7.047850358055439,0.0970604288513507,4.1953966863453385,0.0671849410018772,12912.0,0.0
cross-rsdp-192-balanced,0.4031118575716391,0.0212578946658044,16.60898502250202,0.1773439024616047,8.923504723527003,0.0937937132526533,28222.0,0.0
cross-rsdp-256-balanced,0.6216439042822458,0.0314839766483619,31.326892708835658,0.2145118505054099,15.599836318194866,0.1421036667650478,51056.0,0.0
cross-rsdpg-128-balanced,0.1608616517507471,0.025242731091619,5.609323069511447,0.0879327944912474,3.553166862670332,0.0649168244340506,9236.0,0.0
cross-rsdpg-192-balanced,0.2370065531111322,0.0231140148817329,8.23970393493073,0.1117761865573225,5.235216590680648,0.0802281956198539,23380.0,0.0
cross-rsdpg-256-balanced,0.3147469444782473,0.0216888490842437,14.073251191619784,0.1477096466772687,8.599510940758046,0.1083285894594436,40134.0,0.0
cross-rsdp-128-fast,0.2141525673447177,0.026038615853244,3.94802097916836,0.0721384812788179,2.310309136903379,0.0540137976520238,19152.0,0.0
cross-rsdp-192-fast,0.3917602612869814,0.0240964610119028,9.476658594643231,0.1243654669471025,5.538029445160646,0.0838351044764682,42682.0,0.0
cross-rsdp-256-fast,0.6154464504332282,0.0294355254746587,19.228650034149176,0.1812210979024985,11.133471919724252,0.1232051651149214,76298.0,0.0
cross-rsdpg-128-fast,0.1364587369258515,0.0268475187138289,3.028375173755921,0.0630407503983612,1.8630772388423795,0.044846526840594,12472.0,0.0
cross-rsdpg-192-fast,0.2267539804102853,0.0239040541109564,6.540624928672332,0.097310603561349,4.307893845997751,0.0734750911459832,27404.0,0.0
cross-rsdpg-256-fast,0.3095299171982333,0.0261708788400767,10.881064109050204,0.1425257468512346,7.018816226918716,0.0907784894372233,48938.0,0.0
