variant,mean_verify,std_verify
Dilithium2,33.42142743415633,0.6072385280951984
Dilithium3,54.42986117622531,1.0107971107696287
Dilithium5,85.35262337523827,1.4913542217473843
Falcon-1024,104.4389367957231,1.802242764844086
Falcon-512,75.01052954792092,1.3633430540343632
Falcon-padded-1024,102.4073523167225,1.7480858923427876
Falcon-padded-512,55.16433497846776,0.9526162994466311
MAYO-2,24.51130469460672,0.4111916088429735
MAYO-3,116.32305405459886,2.1784668118863473
MAYO-5,215.4939880207499,3.5414169141358394
ML-DSA-44,33.87539875542332,0.5686743741931087
ML-DSA-65,54.381333770067734,0.9583019955856216
ML-DSA-87,82.90720370065624,1.369816409913709
P-256,99.24220910158647,1.7495457241407746
P-384,434.30558789157817,8.209478010414783
P-521,541.2029602345849,8.881262775966619
SPHINCS+-SHA2-128f-simple,853.038474366753,15.395070607244074
SPHINCS+-SHA2-128s-simple,309.14836307678064,5.5675635603201465
SPHINCS+-SHA2-192f-simple,1298.8756119057414,22.98543837246533
SPHINCS+-SHA2-192s-simple,515.6341068419704,9.228007078766
SPHINCS+-SHA2-256f-simple,1318.8455799694552,23.07899048316263
SPHINCS+-SHA2-256s-simple,720.2043495936044,12.113581731103325
SPHINCS+-SHAKE-128f-simple,1620.9727126641387,30.38672218907603
SPHINCS+-SHAKE-128s-simple,599.1115395717559,10.347725251659279
SPHINCS+-SHAKE-192f-simple,2330.032077738081,41.14584332149751
SPHINCS+-SHAKE-192s-simple,847.6318852215538,15.092392752165319
SPHINCS+-SHAKE-256f-simple,2366.506392893296,44.79146631686596
SPHINCS+-SHAKE-256s-simple,1218.7580813839966,20.88636691246474
cross-rsdp-128-balanced,675.7915424216428,11.719420755705325
cross-rsdp-128-fast,363.3275494456662,6.6687921361665525
cross-rsdp-128-small,2648.099945789242,47.09220153142815
cross-rsdp-192-balanced,1508.618320305311,27.3332723283052
cross-rsdp-192-fast,841.1025990840736,14.192847946161692
cross-rsdp-192-small,3683.7922379624592,64.03293626011238
cross-rsdp-256-balanced,2489.3299221293573,47.2395128249705
cross-rsdp-256-fast,1452.9938654198118,26.20994368458547
cross-rsdp-256-small,4917.417817550353,90.5952056914603
cross-rsdpg-128-balanced,449.4047427718653,7.708482885233425
cross-rsdpg-128-fast,252.02237501654966,4.70099325000695
cross-rsdpg-128-small,1575.7796418008097,27.62055390338629
cross-rsdpg-192-balanced,693.8905416029972,12.711062456945594
cross-rsdpg-192-fast,596.4249019320876,10.209443233535723
cross-rsdpg-192-small,2522.982248135341,44.746663506738
cross-rsdpg-256-balanced,1137.563598842558,21.84778719279182
cross-rsdpg-256-fast,973.0882682657812,18.149643909239273
cross-rsdpg-256-small,3083.891709404524,52.27519697483217
