variant,verify,artifacts_size
P-256,137.7828179263774,123140.30510412522
P-256,137.99985395692772,123224.80206603548
P-256,136.9804375055938,122269.36094953633
P-256,138.99262811600477,124227.99435785653
P-256,138.6621627056947,123894.18218942403
P-256,139.22456570533137,124288.47230638187
P-256,139.53650186509344,124685.33509800308
P-256,133.78265827747,119627.13203140012
P-256,139.95606720955496,125030.9405861074
P-256,138.61725726527408,123850.84767518158
P-256,130.92848086036648,116873.33488985563
P-256,137.95873663205344,123271.4739835113
P-256,141.5156360035334,126352.117086307
P-256,138.56110019082556,123832.58147786582
P-256,138.35359859877966,123639.16506134601
P-256,137.4850937159324,122826.24091080349
P-256,139.48259374601597,124586.14941909078
P-256,139.22698450869086,124260.3723342319
P-256,134.16800207220552,119798.66539039006
P-256,139.29597914080955,124438.73411863204
P-256,134.6683153477726,120207.24798515478
P-256,139.74762350794919,124908.5269531962
P-256,139.59919280107673,124712.52633844283
P-256,133.21442751536043,118911.0956372491
P-256,136.60256144854492,122021.2193720175
P-256,137.4591545433604,122814.93949838559
P-256,137.4822019511364,122787.39317455866
P-256,139.8317926354803,124972.17542110392
P-256,137.91193411834809,123214.66708222903
P-256,134.27732832140217,119815.84633558417
P-256,139.67358905513126,124711.54812461494
P-256,133.9081417447658,119642.73799929046
P-256,137.80571541742705,123155.10951833741
P-256,134.61840290115907,120209.45006705904
P-256,136.01101527119923,121674.52963930444
P-256,139.94105269896173,124973.34360634674
P-256,141.14390142903173,126130.48059373975
P-256,138.6636587301748,123905.35204390052
P-256,138.99740943458326,124147.07822430591
P-256,138.90224942652276,124022.7683948456
P-256,137.86327456089873,123199.06861469295
P-256,136.34667074302615,121791.2253791442
P-256,136.95777658863295,122356.01185175199
P-256,139.45714500332096,124474.73326785398
P-256,139.45653038098897,124542.60393224705
P-256,137.62649440541938,122977.16998827888
P-256,138.51698084511264,123696.38367430928
P-256,136.96450331151,122242.12074129861
P-256,138.75015862526345,123900.2780642439
P-256,139.61186125386703,124720.18361705334
P-256,138.17171848670938,123505.89952972496
P-256,137.63499244688808,123014.56166122295
P-256,135.52056870685607,121051.94997073273
P-256,124.72066006621871,111405.58981890211
P-256,140.3964911612486,125474.77898316344
P-256,136.91629580681936,122283.44475961861
P-256,141.98669169117895,126794.13851397079
P-256,138.57584752769705,123732.57747481347
P-256,136.58632107912956,121993.49842159284
P-256,138.26257031452198,123427.24946114657
P-256,137.79529747505666,123153.88844886485
P-256,139.1471015920516,124283.5343182804
P-256,138.5281397729704,123674.38014922841
P-256,138.63086008522063,123867.65480983663
P-256,139.51580129775687,124652.0076855927
P-256,141.13001233306343,126006.25493531724
P-256,136.74913460661614,122192.31756047784
P-256,139.4793161108996,124607.38173021314
P-256,138.30833549741348,123506.76822932623
P-256,137.96173803116304,123259.48123088383
P-256,140.26797760107675,125384.2230595583
P-256,138.7719037961945,123917.16868210613
P-256,140.612834912038,125534.34151004796
P-256,140.572374288491,125461.71097666936
P-256,135.973456582655,121442.49597604992
P-256,137.09781468294602,122390.90702034542
P-256,137.83129581067575,123019.62567132436
P-256,134.3907907352786,119985.27793044114
P-256,138.90762050731936,124065.77744608562
P-256,136.46642150619167,121878.96094791648
P-256,138.61159710858632,123848.04610567559
P-256,137.41066009032866,122800.03709754426
P-256,138.3027603357406,123639.60706105118
P-256,135.16590515939285,120679.3022334827
P-256,135.06467600937597,120636.934020559
P-256,136.29557223872254,121751.51990548288
P-256,137.48524933614647,122819.05774995711
P-256,138.89170121363915,124103.30161470699
P-256,140.49921247375116,125356.34848729194
P-256,135.52740015450755,121151.94038739537
P-256,139.79182928263504,124888.24241783752
P-256,138.58033076669508,123840.5058576644
P-256,140.3306555365422,125321.4491602971
P-256,138.325104533324,123634.7667428682
P-256,136.9663203832344,122294.07543593326
P-256,140.27265526085057,125268.87181522604
P-256,138.10268025515307,123363.999919164
P-256,137.16830268616306,122460.74168585162
P-256,139.72624103293202,124753.08727493764
P-256,137.60914531910745,122902.85229564493
P-256,135.96534629779285,121452.81194657166
P-256,136.14363065605045,121577.48200369222
P-256,139.7363239593724,124864.95943556108
P-256,139.1317345015095,124088.27145381975
P-256,135.28927231238336,120920.45369884298
P-256,136.5517470174919,122028.97476933268
P-256,139.34869980591617,124418.44882084531
P-256,140.56989165568498,125493.48003262945
P-256,137.2592296285362,122652.86219590339
P-256,136.46383438099022,121907.33534027169
P-256,134.4432342823388,120002.48456825847
P-256,138.32036139946115,123575.55350491901
P-256,139.47835172214042,124539.16655529737
P-256,128.51795571894849,114854.95089866637
P-256,135.090522585576,120722.637465984
P-256,136.45830314243668,121887.63209739895
P-256,139.1433008624917,124263.6142375714
P-256,139.08247231274612,124297.40396619799
P-256,135.55299732386553,121119.78049102309
P-256,135.74550629089921,121427.85710183789
P-256,136.89919468255962,122275.24548363658
P-256,136.55777997718346,121888.6956978815
P-256,137.47564228010899,122835.04512362817
P-256,135.5017817288759,120903.09056701681
P-256,137.0909534901098,122499.07506284858
P-256,137.4205438846245,122666.31131454563
P-256,137.9225605024011,123146.49187578377
P-256,140.21309551615698,125229.73664942612
P-256,140.45130178985542,125399.50191940233
P-256,135.91236619835118,121297.78140157904
P-256,142.2812433201736,127131.70424095307
P-256,137.00383963006988,122408.70020223218
P-256,141.6901694308349,126459.69779728205
P-256,138.38305973106824,123741.15064350699
P-256,136.54929561085015,122044.63281817001
P-256,139.13534703760152,124217.04031894254
P-256,138.13436897615563,123374.04502656109
P-256,140.20611259009908,125275.18758071846
P-256,140.5499622085344,125584.31658873249
P-256,122.19308833125467,109170.97810365318
P-256,138.63032426394474,123769.46402453593
P-256,141.09949679994816,125786.78985723112
P-256,137.20054907923492,122517.27004169102
P-256,138.14195720589322,123239.23266256758
P-256,141.04194901509757,126103.89862550206
P-256,139.03690654732642,124078.79949714743
P-256,136.10694177670845,121527.72552083046
P-256,136.0467210650732,121267.8167724493
P-256,138.95321115953507,124195.25156907305
P-256,137.8571941722058,123111.90694958405
P-256,137.78398542517175,122979.9967723346
P-256,140.60397524804813,125620.75867380247
P-256,138.95863906787275,124267.4178392228
P-256,136.29699044234292,121695.88174492864
P-256,137.64760664637794,122969.70029501627
P-256,141.8708493151025,126691.03346231078
P-256,134.0376324209915,119682.98479954682
P-256,135.0217300731436,120610.39643267178
P-256,139.47523128737828,124555.7535906159
P-256,139.96292342007968,125025.37015871475
P-256,137.23882285029092,122581.7697251959
P-256,135.6433407145937,121186.90628337814
P-256,136.31132311900427,121811.73107699298
P-256,138.2550642077242,123329.13166627206
P-256,137.62543016041266,122837.76142108164
P-256,140.28895983083711,125294.02248482949
P-256,133.89721980134797,119501.30843837984
P-256,139.32580094042268,124363.41318114394
P-256,135.3010943015025,120857.34016215563
P-256,136.76256466672578,122106.89381526886
P-256,140.45210365715016,125429.46484845785
P-256,136.01903569120813,121443.07958157023
P-256,138.1501437865461,123319.72695080253
P-256,139.12618895213754,124224.90187699783
P-256,137.6744440720129,122924.91169610998
P-256,138.48887182318015,123710.44447865631
P-256,137.60657978761844,122837.64552951604
P-256,140.03562024051556,125014.34201567002
P-256,140.07882007486123,125160.11169953406
P-256,139.76668066483867,124724.70953170315
P-256,140.06879549302377,125077.57629159348
P-256,141.27724981452724,126246.76450421325
P-256,138.51499868267658,123635.09346294582
P-256,139.86225297420015,124993.74179954905
P-256,137.97841300617512,123213.5904191661
P-256,137.51682437981677,122823.34084675621
P-256,139.1287344146735,124350.5198007611
P-256,137.92992871686567,123187.07933980286
P-256,142.17878410464274,126906.70426826912
P-256,136.72563845394794,122118.581511432
P-256,134.11470116475758,119914.09090565586
P-256,137.0374482204862,122368.48390104796
P-256,136.53441697795043,122045.64442045783
P-256,137.1908062516893,122583.99571483817
P-256,135.50599159890908,121049.58223360803
P-256,134.58727493232456,120188.31423485777
P-256,138.92545307122344,124129.22740330422
P-256,138.938823159726,124068.78802387444
P-256,137.89043614611955,123123.00426288776
P-256,139.5789021453901,124712.78658902174
P-256,138.9182131544105,124056.55707184416
P-256,136.97551687050182,122272.76931729652
P-256,138.06084999021283,123154.98472073735
P-256,136.2805491731637,121684.69093494043
P-256,137.40232642450218,122698.06212256453
P-256,139.8424543069203,124880.66548713726
P-256,136.99539098021654,122382.74216841109
P-256,137.79323062654373,123087.17904062696
P-256,139.71901737866895,124701.97475438827
P-256,139.40504877421637,124567.25929576081
P-256,139.9642566161925,124948.91632507154
P-256,134.8543674818919,120511.43192734811
P-256,133.7818249355891,119459.09085294772
P-256,135.13038833675606,120705.83954344846
P-256,138.98766637873416,124044.18447951668
P-256,137.8434309429674,123046.35714667091
P-256,138.72866311764437,123880.72491929801
P-256,137.38329557549602,122789.5855445644
P-256,137.97244138464475,123211.46510586629
P-256,137.60833329622005,122952.0774087112
P-256,135.91669822458775,121450.14201191027
P-256,137.79542060444487,123049.72552893215
P-256,139.58527928152148,124608.95842154007
P-256,139.1437791052788,124312.03254658545
P-256,139.53825069775473,124633.69907381448
P-256,136.13711778131676,121595.71533924567
P-256,139.92978152195224,124943.30725546567
P-256,137.96993853140634,123257.9707575911
P-256,138.03285934111844,123310.98788992017
P-256,136.6854353508255,122172.97088908342
P-256,138.11446724804017,123250.56480402932
P-256,138.27354175214478,123485.43839957335
P-256,139.0805601967468,124191.46814204086
P-256,139.20896062571168,124273.02868634359
P-256,139.46827272602002,124498.19386483888
P-256,139.20028491660253,124373.1487875171
P-256,134.87946816916275,120375.04809072411
P-256,137.12483863133866,122395.43382491452
P-256,135.35441200905132,120881.45835379622
P-256,137.6908517573679,123059.85096878328
P-256,138.66377571731314,123793.5557933592
P-256,138.2070296343074,123501.80677071294
P-256,137.68878957746495,123068.56534769578
P-256,134.510743375526,120089.24329494765
P-256,134.86489018117337,120441.31873639837
P-256,139.82716303395688,124956.87502260349
P-256,135.92180440709075,121286.79671186277
P-256,135.71688480099348,121193.5476862981
P-256,136.00285247086774,121528.73681779357
P-256,136.00355961263799,121487.09984297557
P-256,138.3314782186304,123446.64604060083
P-256,132.5926770815283,118476.69874408058
P-256,138.68992265149282,123889.26545107391
P-256,136.25732845726603,121651.43009162071
P-256,140.31488535483615,125281.46300881007
P-256,136.06816847822512,121449.92104429936
P-256,139.47031923088704,124520.05469607547
P-256,135.9351812107828,121433.63600315391
P-256,131.77251838931298,117708.49368379731
P-256,138.05008813576717,123348.7505944849
P-256,135.49813261329783,120875.59893186345
P-256,140.13684186753176,125212.14894758188
P-256,138.6014860189263,123701.47907226952
P-256,138.43470969763408,123737.59699556367
P-256,139.0271398699999,124163.80131561896
P-256,135.15947869337546,120684.54311953165
P-256,139.7437194675064,124769.20065750148
P-256,138.38378821550012,123534.87539458608
P-256,140.79835365992346,125675.69788886268
P-256,134.56200877920799,120274.84601398108
P-256,139.25044308480773,124290.96784876926
P-256,131.29681067464588,117051.7601766214
P-256,139.20154107895004,124369.80646852744
P-256,137.46661167350823,122832.08723018858
P-256,139.192086198676,124332.53832930628
P-256,137.61076973859818,122830.3037987575
P-256,138.88610643337756,123871.30837224364
P-256,135.93753535067103,121552.2644647352
P-256,139.20317758760567,124257.26178907556
P-256,137.28847783928936,122659.94780644959
P-256,138.95646069983292,124102.1050447267
P-256,138.80866552847226,123997.91127563099
P-256,138.35419252220024,123652.85395482325
P-256,138.20735404232306,123495.93270010137
P-256,138.81529532286777,124117.51112913145
P-256,131.14086845491582,117135.35672703097
P-256,139.2700499656177,124453.68980270412
P-256,140.37094790605897,125280.53601479805
P-256,138.37895495233244,123748.78122803812
P-256,135.4996387000674,120907.61491973138
P-256,138.99485886363914,124143.1390371826
P-256,135.82587853526624,121343.63270574497
P-256,136.0656692584649,121542.69969680144
P-256,135.20981023317668,120750.92779628008
P-256,138.03229243888148,123326.19253198426
P-256,141.04725310081938,125999.00183632187
P-256,139.85189339656884,124883.24045848315
P-256,137.97119998739547,123131.19153694622
P-256,136.57819502604247,121905.26144377349
P-256,131.71405314315498,117583.19446668781
P-256,139.56490223419434,124592.00459731102
P-256,137.65668633133924,122872.0018923929
P-256,138.83068100609253,124091.59834059999
P-256,138.08613509005738,123410.2589642844
P-256,136.6937111894177,122083.88568906543
P-256,141.36952169974157,126318.10456643264
P-256,137.3609707484573,122694.15006440731
P-256,139.56989578554968,124796.83890880569
P-256,136.51398397904217,121955.01502241979
P-256,135.4128767330328,121050.83432941027
P-256,130.5499955675269,116470.645983247
P-256,138.65226612773546,123809.54407504154
P-256,141.43985356523544,126205.96923159441
P-256,137.2329441629316,122425.41120812125
P-256,140.20582004187156,125217.53274162354
P-256,139.16118771766284,124268.35547177876
P-256,138.8507282319371,124052.59478125369
P-256,136.45075435232155,121841.53775357787
P-256,140.88007064074,125802.09801523387
P-256,139.73260609400472,124703.15054247093
P-256,133.09330999391327,118879.94458982993
P-256,139.1792755119409,124107.22305881581
P-256,138.82257947148594,123911.24901185918
P-256,140.04020322620988,125150.83738748213
P-256,140.85567645902583,125834.81525452313
P-256,136.3386256718161,121733.70093890475
P-256,138.57899592098542,123777.02460695127
P-256,134.5190912966223,120077.0168170358
P-256,136.95448210517523,122317.50105343698
P-256,139.22918033415286,124338.16933712545
P-256,136.03947599267764,121606.44821504032
P-256,138.12346928312115,123373.15520272283
P-256,141.87919718875426,126693.96514169015
P-256,128.87213153013752,115029.13003920746
P-256,136.62552562090798,121994.92249512745
P-256,138.11229093428048,123376.61776734458
P-256,138.2790894456538,123449.25455504801
P-256,138.38900165975343,123559.82808562771
P-256,140.31255482041894,125328.17945317263
P-256,140.2580176698234,125245.30951758094
P-256,140.20047223767617,125221.932088379
P-256,139.94771293749156,125025.70792594676
P-256,138.6977680553611,123877.01608399532
P-256,139.03526734420836,124132.12737188388
P-256,136.84340543079804,122288.83749898645
P-256,134.8390371130378,120507.20914315
P-256,138.6474083639478,123785.65194689506
P-256,136.23584712423593,121818.07208113931
P-256,139.18018729435025,124516.0425419431
P-256,136.7858349514969,122239.05510596905
P-256,137.5835444101035,122877.02464922506
P-256,136.64067936587068,121957.94761109687
P-256,133.21524767651366,118989.77810900022
P-256,135.4080164802578,120941.02131073947
P-256,140.52074506640722,125464.09246233077
P-256,139.93524407049622,124886.04998694109
P-256,134.11945131019476,119750.89900349335
P-256,138.32062399206214,123521.52451967598
P-256,135.19957775277595,120874.51758368174
P-256,138.39646854544122,123614.56445252505
P-256,138.1710610946979,123420.84092456258
P-256,134.7419949070778,120545.46644466417
P-256,138.58891055708378,123893.64348277135
P-256,138.35407334251562,123546.86082273374
P-256,139.2028604432335,124330.4896696135
P-256,134.09340681660368,119715.51441734364
P-256,139.81425897615622,124874.45311148057
P-256,138.33155392556,123563.00921890762
P-256,138.4315807331692,123709.90598237717
P-256,137.88709660282004,123084.08851099096
P-256,136.33967989308658,121778.35713053377
P-256,134.93580093362846,120475.6454518663
P-256,135.94544453307478,121326.28032599798
P-256,139.5081450394286,124636.12118681756
P-256,138.74982416896177,124059.09331605195
P-256,138.65511955903946,123872.21456244309
P-256,134.35025692591654,120109.47409233803
P-256,139.02275178586044,124068.51102752869
P-256,136.85848545361128,122309.36186012032
P-256,122.88209046436589,109591.84900129952
P-256,139.9225023898303,124852.44252466383
P-256,136.0155791972504,121438.65704254241
P-256,141.34286660714602,126310.9463797025
P-256,138.88094847026633,124191.83536595212
P-256,138.58042211737768,123598.05826385666
P-256,135.2872565078728,120876.66476895283
P-256,137.98964923063147,123251.23547081492
P-256,135.42635646054592,120903.04583933132
P-256,135.65042562150634,121262.83327971389
P-256,136.55602534401115,121926.17972787206
P-256,138.2275861924663,123515.00854405062
P-256,139.4268362667624,124587.56433326293
P-256,140.2675712913644,125229.85228367854
P-256,136.94253397783925,122370.87707381828
P-256,139.50809819449898,124528.3767398816
P-256,138.20331681517217,123429.86247294435
P-256,129.90936207797847,116028.22045130342
P-256,140.18553354570847,125299.25770783226
P-256,140.28385945227117,125251.03854356549
P-256,138.61103789549858,123828.58140609249
P-256,137.9734523577432,123189.86155573506
P-256,141.5402541405236,126414.2146717707
P-256,140.0170504100444,125096.07260133019
P-256,139.52745211112133,124662.75827371329
P-256,139.1180268907252,124293.35758611163
P-256,135.6399676559734,121167.69830810095
P-256,139.24769873801534,124325.75852837917
P-256,138.75451708768676,123832.43931826824
P-256,136.86035684880912,122346.68413642723
P-256,138.14608384576707,123425.15341417812
P-256,136.62160005395236,122014.84372351455
P-256,138.23907021510297,123465.76730771804
P-256,138.03965737205786,123427.60773158439
P-256,137.91255537646146,123129.23703406105
P-256,137.3040788797572,122699.079966017
P-256,140.64644552334832,125618.18195173045
P-256,138.40907455314553,123544.61361257931
P-256,136.55844497593688,122204.66225854603
P-256,138.0996482741976,123387.88500556345
P-256,138.7220783300343,123848.30217525459
P-256,139.25813851946,124332.41761424716
P-256,136.51409636284097,121927.46999988073
P-256,138.84852600886634,123888.62875729
P-256,140.40091647561118,125435.1116217569
P-256,140.0461572634999,125084.93019255565
P-256,140.68020223922923,125570.32270210986
P-256,139.83223152651922,125029.11168352891
P-256,132.79677701504917,118401.81046890766
P-256,140.00619286277228,125047.0773656768
P-256,135.66016769781962,121136.65851987053
P-256,137.10544561427653,122530.74221220371
P-256,137.0659107994174,122481.32033722184
P-256,139.0154550412585,124169.41316985915
P-256,138.72956474436384,123957.47963760325
P-256,138.63345355638958,123825.24409259105
P-256,134.6159928350184,120248.02616011408
P-256,132.54721249525113,118478.13981599286
P-256,132.31545331767524,118094.55014053572
P-256,140.18775118978752,125250.8402466285
P-256,131.43646334054222,117306.54969161711
P-256,136.86800980862932,122352.23752597747
P-256,136.27842262507448,121790.91027501709
P-256,139.22506089596877,124434.81909798447
P-256,132.74632561444173,118628.45633222838
P-256,138.49918221320837,123818.24982732616
P-256,137.85738385047938,123176.28576528255
P-256,136.38467963399074,121802.51574483544
P-256,136.97061891888922,122444.5285234821
P-256,139.036051806928,124179.24197281485
P-256,141.2077183452839,126145.80203066237
P-256,139.28415834557413,124433.42896852831
P-256,137.82925292738454,123028.77625776414
P-256,139.18455461858554,124286.70415376495
P-256,137.75814383620533,122993.17906256976
P-256,134.69726103140817,120343.76167028784
P-256,133.30864910425169,118931.13315249278
P-256,139.51343088485376,124566.42295993482
P-256,135.38978677374882,120828.41898265494
P-256,135.09738807411554,120698.06805130636
P-256,138.012346817877,123222.90197166524
P-256,141.12881968802574,126063.22465009266
P-256,133.76412019346836,119583.04477648338
P-256,138.77850910501624,124064.12663679574
P-256,138.32430954390685,123563.98331558885
P-256,136.5010621741611,121943.2200968946
P-256,137.76231343318568,122970.93593044837
P-256,136.853018707013,122162.83341295434
P-256,140.12665080515427,125237.22406210995
P-256,137.6898244064838,122964.72418355096
P-256,138.31002039304752,123585.44230847
P-256,137.29151474812946,122639.01699114928
P-256,137.40652242166223,122664.92349688309
P-256,135.35076807133638,120897.78177108761
P-256,137.5366334139354,122889.70789221617
P-256,139.97598985086947,125022.76143372097
P-256,135.87536430703125,121312.51453992778
P-256,136.2805043128348,121606.0331455872
P-256,136.29191420893846,121788.693494735
P-256,135.87696854021536,121432.73241271127
P-256,140.16888681939818,125227.4596854132
P-256,134.8680415310215,120457.68762641153
P-256,129.7360007768095,115929.54947965586
P-256,134.3420754754383,120032.2383671753
P-256,139.52522565359502,124568.06026938884
P-256,139.34545945159329,124459.68584062374
P-256,137.7052030963203,123011.29931683051
P-256,137.06569225260407,122441.6256328295
P-256,139.49026392445805,124601.49352480107
P-256,141.01564722567585,125916.5621488887
P-256,135.9109246838637,121303.08179154119
P-256,140.03588108843707,125072.229009427
P-256,136.74149768338347,122060.7229606926
P-256,129.27680720240662,115500.63577929357
P-256,137.4045935348094,122684.51854250958
P-256,138.4105115984062,123594.57877186201
P-256,140.41629889961456,125398.7795564009
P-256,140.73819236632335,125691.26739859393
P-256,135.42027773179782,120983.68974380555
P-256,137.8746598314802,123253.94934802203
P-256,140.03025329525536,124976.87971187531
P-256,140.55222945695093,125552.1718505092
P-256,139.9981516319645,125034.40805257116
P-256,140.43845094535848,125451.65236317883
P-256,137.70262031813405,122929.22851597982
