variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify,mean_sigSize,std_sigSize
P-256,0.0229513644000135,0.0023191627893249,0.0477522384998749,0.3177482861883982,0.0794791104999475,0.0051530741600972,71.0114,0.7133869441566811
P-384,0.1462183379999928,0.0068238410494622,0.2364861824000129,0.0089734594236844,0.4617000170999503,0.0180085248247727,103.0024,0.7106650015826353
P-521,0.1491927902000696,0.0066372049563516,0.2960427420001338,0.0169000191135434,0.5192993017997836,0.0152086605427557,138.4973,0.620508834039704
ML-DSA-44,0.0280081629998448,0.0022450302661041,0.0681604538999067,0.0357558607020854,0.0270414332001195,0.0030085142150928,2420.0,0.0
ML-DSA-65,0.0456996318999927,0.007278175237522,0.1077681221999682,0.0599612638591282,0.0430142314000192,0.0071843470327668,3309.0,0.0
ML-DSA-87,0.0692167361999707,0.0079097799175094,0.1315688781001796,0.0569624181184338,0.065603113100073,0.0047615723145281,4627.0,0.0
Dilithium2,0.0282607561999498,0.0022700592513125,0.0677794262999185,0.0368773210374753,0.0269557128998826,0.0025004281813507,2420.0,0.0
Dilithium3,0.0454953251996926,0.0077195932159815,0.1071195623001386,0.0586959552471278,0.0429127196001246,0.0037449083098838,3293.0,0.0
Dilithium5,0.0691655126002359,0.0043470745730745,0.1317515207002145,0.0581749221542173,0.0660768758997591,0.0045380982629056,4595.0,0.0
SPHINCS+-SHA2-128s-simple,19.318397799900254,0.3246262186364587,146.83204522850164,1.4408894765033098,0.2687916893005478,0.0121609320857535,7856.0,0.0
SPHINCS+-SHA2-192s-simple,28.46239118089757,0.3874810278202339,273.51820405760225,1.6473067944995714,0.3925355913944258,0.0178999290235115,16224.0,0.0
SPHINCS+-SHA2-256s-simple,19.096673665600797,0.2865950352552973,249.5681829195967,1.3948037532156958,0.536287850898043,0.0208706624703777,29792.0,0.0
SPHINCS+-SHA2-128f-simple,0.3090382529968337,0.012322312555863,7.150602358893411,0.1332683473919391,0.6287353675083068,0.0205611800295471,17088.0,0.0
SPHINCS+-SHA2-192f-simple,0.4597063618079119,0.0165374099487782,12.305877465287267,0.2037121501405845,0.8907581672970991,0.0264914509284305,35664.0,0.0
SPHINCS+-SHA2-256f-simple,1.231884784702561,0.0344265571469655,25.53141475599641,0.346751119229205,0.9180949948924536,0.026543790393186,49856.0,0.0
SPHINCS+-SHAKE-128s-simple,36.47527155810094,0.4407710966903555,277.07811792131054,1.4593345127441508,0.3644709522000994,0.0181573394062172,7856.0,0.0
SPHINCS+-SHAKE-192s-simple,53.42320471151943,0.5344134252930717,480.2306152040081,1.7552350085102488,0.5125887295778739,0.0215207558329235,16224.0,0.0
SPHINCS+-SHAKE-256s-simple,34.719189969410586,0.4309267961502506,414.0466815156371,1.9631575717354224,0.7201190689127543,0.0237794019356864,29792.0,0.0
SPHINCS+-SHAKE-128f-simple,0.5775696920976771,0.0173521922041776,13.387100241981898,0.2182778796815677,0.9486326011243364,0.031175011823787,17088.0,0.0
SPHINCS+-SHAKE-192f-simple,0.8446446217181801,0.025382485069316,21.6833554849105,0.3110991522446681,1.3547355375831105,0.0382053714849031,35664.0,0.0
SPHINCS+-SHAKE-256f-simple,2.179259180490772,0.0510589988499135,43.73543996510671,0.5094392957208617,1.3655114259119727,0.0417098529326979,49856.0,0.0
Falcon-512,6.08894537477754,1.5057234323477406,0.2293982711300486,0.0140518381770497,0.0487438548956561,0.0043181331850293,655.0283,2.1777909420646324
Falcon-1024,18.032098246907843,4.404838424192289,0.4458037642794806,0.0176909945268224,0.0905338275875692,0.006691619946002,1270.6217,3.1325661057734155
Falcon-padded-512,6.079942950874829,1.5135019966476182,0.2300435894307156,0.0126223605150198,0.0479459232938097,0.003956331496591,666.0,0.0
Falcon-padded-1024,18.06622697691673,4.387543176422702,0.4502005730962992,0.019989347966452,0.0898427389900462,0.005940930903847,1280.0,0.0
MAYO-2,0.0387149948306614,0.0031835421658912,0.0843071604129363,0.005296083851211,0.0243802274802874,0.0068310474519615,180.0,0.0
MAYO-3,0.0731883015851053,0.0080607419870706,0.2363642428863386,0.0093593616417693,0.0852225289814669,0.008302161383283,577.0,0.0
MAYO-5,0.16016985269016,0.0097218215236653,0.4644926923843741,0.0165827813951445,0.1701909412036912,0.0102048053239082,838.0,0.0
cross-rsdp-128-small,0.0206388055004936,0.0025239113317738,2.439320712003973,0.0563701937585336,1.7386693751057465,0.0410766744629574,10080.0,0.0
cross-rsdp-192-small,0.0454837908033368,0.0039319087410418,3.453275941483298,0.0771395902155457,2.437725340827092,0.0556239959284478,23642.0,0.0
cross-rsdp-256-small,0.0630223513264354,0.0053077288852873,4.684401695108681,0.1014586490148782,3.246208192698032,0.0722118239345903,43592.0,0.0
cross-rsdpg-128-small,0.0141719954008294,0.0020469099307601,1.700188453298324,0.0400605146129509,1.1484493412801384,0.0308438599013046,7956.0,0.0
cross-rsdpg-192-small,0.0212589147016842,0.0029443871914201,2.700723924077101,0.0619028171823385,1.7122614510986751,0.0428019255979312,18188.0,0.0
cross-rsdpg-256-small,0.0337503296905197,0.0032804554826272,3.569023468637897,0.0761970409005359,2.214605565499369,0.0483565860515052,32742.0,0.0
cross-rsdp-128-balanced,0.020055362801213,0.0017839965001388,0.6695022540974606,0.0194301157877443,0.4577794411954528,0.0172658517646857,12912.0,0.0
cross-rsdp-192-balanced,0.0451919931158045,0.0036104475809712,1.5206389073991886,0.0358328318952394,1.026009417077148,0.0277449910659041,28222.0,0.0
cross-rsdp-256-balanced,0.0626082878217857,0.0045765116786456,2.562394626593232,0.0563975133339909,1.6953225637975264,0.0398468065865043,51056.0,0.0
cross-rsdpg-128-balanced,0.0127078412209812,0.0014389109598915,0.5087417794213251,0.0176768779997033,0.3266486746935698,0.0124827579392469,9236.0,0.0
cross-rsdpg-192-balanced,0.0203679066991753,0.0019620671207347,0.7550396064005327,0.0225178234830462,0.466122391423778,0.0145600386794577,23380.0,0.0
cross-rsdpg-256-balanced,0.0331913459031056,0.0030308924045315,1.2517946511885385,0.0315839327640949,0.8135245934063278,0.0235505589563206,40134.0,0.0
cross-rsdp-128-fast,0.0194378206830151,0.0019146362609279,0.4107822419089643,0.0177673888601336,0.2539186101264931,0.0094659602109482,19152.0,0.0
cross-rsdp-192-fast,0.0371079246604495,0.0029458021956309,0.8946374076262146,0.024169757877824,0.5695946556697891,0.0172037236126702,42682.0,0.0
cross-rsdp-256-fast,0.0510197192928899,0.0041336690826057,1.592072619796454,0.0360813206501877,1.00801436698639,0.027950662977265,76298.0,0.0
cross-rsdpg-128-fast,0.013327473964091,0.0015323656504642,0.2847804069111589,0.0134960074229803,0.1771157862931431,0.0102227354520292,12472.0,0.0
cross-rsdpg-192-fast,0.0211042358150734,0.0021070791124788,0.6573538365108107,0.0172085950419992,0.4015176708908257,0.0192492724906888,27404.0,0.0
cross-rsdpg-256-fast,0.0333868124947912,0.003128466591088,1.0408144735833047,0.0269557217834201,0.6829673829255626,0.0204082636996072,48938.0,0.0
