variant,verify,artifacts_size
P-256,140.07451540397795,181444.20999821663
P-256,136.85935350343,177277.31837988115
P-256,137.70532682024242,178384.2461189179
P-256,138.71292941295985,179767.04007920076
P-256,138.20418958713685,179014.2007986966
P-256,135.19469552553065,175068.71297813478
P-256,139.82444847449725,181192.5923078261
P-256,141.33297091881013,183205.27698903528
P-256,138.82858456531042,179672.4881357185
P-256,137.24530641932694,177814.20242740813
P-256,137.70395772573298,178418.5639217848
P-256,138.53552441678977,179205.15490708553
P-256,134.97152399898144,174847.07784760947
P-256,137.16143403591124,177707.8091500772
P-256,134.45984483575575,174438.08362242873
P-256,139.0175895395594,180057.10279341013
P-256,140.1789398684474,181645.7627675327
P-256,141.3678672378311,183063.939363557
P-256,136.46499646997657,176848.12833342978
P-256,135.45333666568544,175742.87801057976
P-256,137.47982475529653,178108.80758600292
P-256,137.96342233358666,178919.72790735876
P-256,136.99833137734234,177518.7087413856
P-256,139.416820063458,180630.4489666914
P-256,136.65454221108948,177093.3683853364
P-256,136.85721771895717,177302.59013849118
P-256,138.0163933888955,178798.3831719687
P-256,139.07351589163008,180233.03827181726
P-256,139.10926278163677,180171.0210036111
P-256,136.01513010310856,176132.94235127745
P-256,138.6121969061646,179500.46480717574
P-256,137.44556513806197,178051.27997998978
P-256,136.64202045110014,177104.72281605113
P-256,139.44861838994376,180726.04025145675
P-256,137.14284609449095,177629.301977641
P-256,138.40643636170086,179462.968964736
P-256,140.99385087431924,182709.943439062
P-256,138.11244655789693,178912.54542231775
P-256,136.3843375346764,176887.8568117307
P-256,136.39511694815718,176863.4548898811
P-256,137.74087877763802,178454.08628194383
P-256,139.22406440258803,180212.3213150078
P-256,139.75475899721323,181122.23355313766
P-256,139.59792785413757,180956.5737747335
P-256,139.5286548830406,180758.08075796498
P-256,138.51145862127285,179450.79734860445
P-256,137.9671446761006,178860.385382888
P-256,136.44629947755445,176794.07562189852
P-256,137.74821490402132,178501.17109841038
P-256,136.10104734467114,176572.8865486007
P-256,138.4390927151571,179103.48845654487
P-256,138.1687109386038,179031.16282053237
P-256,137.05481047949488,177526.10526419882
P-256,137.04612721644187,177552.96093312072
P-256,137.65369390819893,178436.09114784523
P-256,137.0367941168805,177559.16243911476
P-256,137.9108950470035,178467.5620454062
P-256,136.7877264521508,177265.1491452909
P-256,136.31326382415136,176580.11599701885
P-256,138.7618399249983,179770.8078125677
P-256,138.53198516258396,179462.2357208892
P-256,136.6142768836859,177017.1877193739
P-256,134.4114621853542,174072.58631884868
P-256,138.3065579239832,179132.87021580286
P-256,137.7129882904237,178527.49892382268
P-256,135.77155915204554,175947.29887300226
P-256,133.33781513932718,172842.00227724438
P-256,140.62260880325906,182115.2769765408
P-256,138.92888372799496,179874.6009150802
P-256,137.47953444343304,178003.65757455595
P-256,137.758416059143,178249.27455693384
P-256,134.3143168042289,173952.89833907018
P-256,137.99959520749098,178825.5547442802
P-256,133.337809682019,172715.7470492417
P-256,138.32533898883653,179119.4173780447
P-256,136.84095699008205,177088.78999266014
P-256,138.5402527852377,179415.01244418067
P-256,137.47283569159967,178179.46161415987
P-256,138.15919627978187,178973.67319529815
P-256,130.84434606102877,169406.8925902274
P-256,139.29394096692303,180284.14153500806
P-256,137.9768124537924,178807.7821595614
P-256,141.11111508937222,183004.45514658425
P-256,139.703440229199,181242.87206292906
P-256,138.30438049837366,179243.52333383256
P-256,139.97734598971078,181326.15147685865
P-256,138.23566160972288,179108.74430143976
P-256,136.82140113422193,177320.41675189167
P-256,138.5199264727771,179386.99123561545
P-256,141.43067835840282,183192.180719241
P-256,137.62300700927818,178184.5940097543
P-256,136.63746723674663,176962.49230172802
P-256,139.97255254946896,181384.42339671034
P-256,135.93184967887143,176174.35038191613
P-256,138.908806469847,179986.4716351787
P-256,139.10436759116038,180193.75891641114
P-256,135.38218993642946,175284.33230446914
P-256,137.1965549876352,177684.91418167693
P-256,138.87446019330818,179898.1404902164
P-256,138.3368916750463,179093.9072249255
P-256,136.74712040292218,177332.65219351213
P-256,138.02766670803368,178944.61978702695
P-256,138.82128925536261,179761.96318431373
P-256,136.29681962345842,176744.17790514202
P-256,136.7139377838733,177247.9869161162
P-256,138.32685783471447,179220.88807164633
P-256,140.26283945371367,181791.60735659217
P-256,137.55148399556865,178295.63342259088
P-256,139.4203481107547,180634.60316403827
P-256,138.00228152327884,178760.77732525519
P-256,141.74766040183584,183680.41435636373
P-256,139.73437255760663,181120.363450571
P-256,137.2220644332441,177834.94568562988
P-256,138.56733582484156,179424.53438844177
P-256,134.87017084652155,174759.00854323016
P-256,139.31236710349873,180355.74855804484
P-256,136.2920165298119,176634.75362824873
P-256,135.75400626139816,175889.6199292707
P-256,139.83444198408628,181150.84967084776
P-256,136.255557808212,176598.76641467988
P-256,140.11803399394267,181695.83185002586
P-256,135.9353712189232,176075.62575742684
P-256,138.1811833824374,179144.37563505402
P-256,140.76690713361666,182346.43152104548
P-256,135.56504948362146,175667.68107250868
P-256,140.4794157085985,181936.59967033807
P-256,134.4158155299383,174395.54225693236
P-256,139.21485635416212,180192.94033205797
P-256,140.19704192961248,181689.84274987248
P-256,139.7975215491877,181053.2773902724
P-256,141.36196477872048,183061.98113673992
P-256,134.5310113115484,174252.054671783
P-256,139.88393654650153,181254.688040122
P-256,136.91348898768368,177373.26602077126
P-256,138.09611943772973,178871.37499159033
P-256,136.94102751713567,177321.50686509284
P-256,138.4840897082155,179384.9575694637
P-256,138.91020558482754,180026.33682417526
P-256,138.31760764039828,179177.39856161457
P-256,137.159551261983,177648.18115219485
P-256,136.15548252286726,176448.99830362044
P-256,137.69115313286304,178219.60998227634
P-256,133.88896786160882,173667.44183698998
P-256,137.57149048953806,178215.42901709222
P-256,128.01836750585824,165667.7098552424
P-256,137.3591837913342,177899.77742302915
P-256,132.72032276956733,171781.54393267506
P-256,139.05564906821232,180150.90725773724
P-256,139.6158095572305,180875.52077593602
P-256,138.4708457415111,179522.7744698381
P-256,139.8602758613484,181395.09181821576
P-256,136.39816776405965,176668.32745285993
P-256,134.14905323731006,173704.2023852966
P-256,140.3711127840902,181841.76893408666
P-256,137.71476085915174,178573.02435584387
P-256,135.7992112602705,176133.99573119203
P-256,139.4321947132259,180647.96396945952
P-256,138.8712519529152,179888.27523506765
P-256,141.13149623617426,182837.83375697772
P-256,135.0707313950716,175041.53427859116
P-256,130.57467451483765,169204.23931469268
P-256,138.08081566208264,178973.04054942145
P-256,117.83641431010979,152788.99127337098
P-256,140.30801895386395,181772.59656055787
P-256,141.33535776961975,183134.8517848563
P-256,137.08980906782114,177781.38326226675
P-256,136.5620011182404,176940.69807653097
P-256,139.6697947132283,180897.53705929487
P-256,139.13485013956782,180215.01136809
P-256,138.11756494820554,178825.5581007782
P-256,138.71898660795125,179510.40399053114
P-256,137.6274298047972,178414.35345891543
P-256,138.8207131212899,179830.65397411946
P-256,137.88312773934132,178697.0195891969
P-256,135.94722934151295,176291.72597336007
P-256,137.47346601718,178055.57698705507
P-256,140.48009266260493,181955.56001782967
P-256,138.64472376840567,179710.6681423981
P-256,132.3577535414861,171463.76625836515
P-256,139.52575824351933,180784.81014753378
P-256,139.02891185870803,180104.79962850275
P-256,136.45189750595293,177003.55932053793
P-256,138.96966595222892,180068.42557348023
P-256,136.50449740690303,176834.63572374036
P-256,139.0868212644168,180192.12625635392
P-256,137.07196227238137,177503.3446342338
P-256,139.3020420507478,180427.08014369765
P-256,139.37784643997895,180559.1993374135
P-256,136.3216826999427,176577.64909095896
P-256,134.47488153412522,174113.1436876957
P-256,136.80940507350414,177387.72029253218
P-256,140.0175101331456,181430.96753142038
P-256,137.91631207810545,178782.57002838686
P-256,136.20326978202675,176612.68050057004
P-256,139.3652960598069,180505.6825501116
P-256,135.45860542241317,175430.73762147393
P-256,140.6738841896375,182408.90229375756
P-256,137.91528724027057,178861.25331856578
P-256,140.2130498664044,181686.4414975595
P-256,132.60487530060388,172055.2186666598
P-256,136.6788765529152,177068.15459593455
P-256,137.74790048638405,178401.36544567355
P-256,132.77538397626122,171916.42409527703
P-256,138.7278540876672,179649.3743529817
P-256,139.2676136164384,180276.767277918
P-256,137.11095981224642,177883.86875364356
P-256,134.1137489490645,173854.59088022658
P-256,129.5124660709912,167880.54761985625
P-256,139.22353071256094,180365.41831089495
P-256,141.44751110502725,183215.69837461095
P-256,138.74033545365486,180032.58747967004
P-256,136.7950222628948,177165.56473157654
P-256,137.5570858560253,178344.1478572918
P-256,137.98325726908558,178918.7056953248
P-256,140.38386725742276,181898.1537156052
P-256,139.73545627040582,180980.91819396717
P-256,134.9584363007163,174757.34270351788
P-256,135.50645740054316,175533.36927086793
P-256,140.01734060634612,181389.66492474164
P-256,137.5275785401895,178082.11087071695
P-256,136.59962163953395,176988.1473343797
P-256,138.66151297635022,179685.31042898106
P-256,138.9793185403333,180046.58856288443
P-256,139.06389559623264,180269.88821822088
P-256,139.99691357402435,181485.1360593395
P-256,139.93720386449215,181277.59170150803
P-256,140.5364415302401,182033.3545760353
P-256,137.5625586460016,178288.90892396087
P-256,135.88168527254842,176093.01070497147
P-256,139.28528293747777,180548.9820788566
P-256,131.479816781694,170217.97881612688
P-256,138.20581273072037,179103.13045013454
P-256,140.3534395440744,181960.14499483345
P-256,135.88868627003012,175943.04094557854
P-256,140.20351631284518,181715.06464283378
P-256,133.0758950687463,172303.8398870016
P-256,137.85617181681894,178598.48572071473
P-256,138.0516971354651,178925.83254981408
P-256,139.76350361650023,181230.7318690392
P-256,136.04639896472898,176212.19101358723
P-256,138.95921249792988,179946.87932130953
P-256,135.61862477618732,175696.43708003737
P-256,129.4311229848098,167661.47338623542
P-256,139.3568712053176,180510.0895212807
P-256,138.25939203614544,179074.6768831066
P-256,139.26412224524606,180499.6092719144
P-256,135.37087526168207,175549.5016046548
P-256,135.14548905110252,175216.577470023
P-256,136.7611662443003,177299.4217917493
P-256,134.14082224367078,173800.25971749768
P-256,137.84579824360236,178737.98391685623
P-256,139.20618503669306,180292.35008300556
P-256,140.398508832175,181852.56254127208
P-256,137.70526741153697,178435.55480192712
P-256,131.09530279592028,169880.87244234583
P-256,137.74903427460615,178421.20864333108
P-256,138.3437890241579,179292.91778520175
P-256,140.3339483754318,181967.06529795777
P-256,135.1041129318809,174973.51742560987
P-256,138.25671154740172,179009.94483338227
P-256,139.02979082957518,180148.1745103412
P-256,139.25706809522674,180474.7705924222
P-256,129.86072190261496,168119.69176245487
P-256,139.49287336046697,180757.3756455306
P-256,133.87701385388678,173400.31128178665
P-256,136.11143213219626,176293.8878683475
P-256,139.40358450406845,180596.7433849443
P-256,135.35649062017202,175410.07268840357
P-256,135.99743359499402,176167.6720050995
P-256,139.2346455093464,180314.38805861236
P-256,139.75942090788368,181089.31111481664
P-256,137.90077200554603,178728.97266343978
P-256,134.9339096931158,174709.54868922386
P-256,140.85177034126326,182507.58236414878
P-256,136.22516902140077,176692.38065565153
P-256,141.30578308669928,183182.04411236336
P-256,137.75524609998445,178517.46183385566
P-256,135.54167417187472,175480.12336433466
P-256,138.27682642059796,179225.66135192235
P-256,139.73489739343984,180996.4493816817
P-256,132.41830528410478,171514.19887773646
P-256,140.7095311161239,182098.30794001583
P-256,140.5884637923013,182027.66908814138
P-256,137.91424098404968,178652.20385350753
P-256,134.790933722222,174479.74597927622
P-256,136.74389301136094,177228.85255994403
P-256,136.75803604159606,177181.07864616707
P-256,140.5605729438086,182252.99339792732
P-256,135.4723862497573,175342.56070341603
P-256,129.0081634032264,167185.79098653188
P-256,135.7404590754829,175809.74205522236
P-256,137.3752745465503,177954.52843027184
P-256,136.55498610770294,177185.75754489875
P-256,137.94546491627167,178589.11586445267
P-256,132.05322286066743,170944.60247832426
P-256,136.18743134478595,176557.54231076935
P-256,136.32437787988403,176347.0769647492
P-256,136.98258725384915,177548.6286391977
P-256,133.01591486011472,172117.30321360193
P-256,138.956775852467,180059.57876843022
P-256,135.1100160041123,174927.91000772017
P-256,134.52203867751362,174272.53507957424
P-256,140.9125782560629,182608.20617631054
P-256,138.05266637137058,178870.35791111272
P-256,139.54921189946663,180788.9156865531
P-256,138.84192422302635,179927.0180482563
P-256,139.92698580809875,181250.1546945871
P-256,137.7649177966091,178626.62739925215
P-256,137.97983079525545,178735.38230005404
P-256,138.70374593044616,179711.70225043144
P-256,139.73131286730415,181166.88680655864
P-256,138.9723634100954,180145.6995153026
P-256,138.33736700207714,179133.86424002974
P-256,138.5951151014064,179601.54395329644
P-256,138.53385891036976,179598.68148111104
P-256,137.37849366449,178025.1386806795
P-256,138.48100504032237,179605.30282157846
P-256,137.5112451256299,178187.4604955023
P-256,137.78501104669087,178666.030347908
P-256,138.74872355688927,179773.1817906942
P-256,137.7271458489319,178571.36401252192
P-256,139.24814415340364,180545.6220485681
P-256,139.51149011150926,180798.4422862006
P-256,139.55214513095797,180616.57442007549
P-256,138.40433942010384,179200.35114143684
P-256,141.6022563504522,183436.5727597081
P-256,134.90281831362972,174838.71486752047
P-256,139.12647875677456,180295.4737360289
P-256,134.2737143999182,173914.71999860625
P-256,135.66519325103417,175873.04296466193
P-256,136.62598733790068,176972.01887931564
P-256,134.24470397809066,174047.0894332125
P-256,138.1840342587497,179219.6050240485
P-256,137.56952417321918,178210.63367536385
P-256,141.72689944816833,183534.45766364984
P-256,138.64865558319843,179794.3872930964
P-256,137.57635609987997,178221.57201300852
P-256,135.418315169967,175265.9991871307
P-256,139.3113196908751,180503.93568353925
P-256,135.00754206445228,174861.41145843887
P-256,140.77154838458134,182596.7851489892
P-256,135.44673139479735,175320.98270098318
P-256,140.32594386663376,181821.57040728454
P-256,139.53198026902712,180927.32503994962
P-256,136.5683695830886,176970.40639996878
P-256,135.01691291221306,174714.58604444025
P-256,139.05019208035617,180202.8196664829
P-256,138.92280960218852,179834.7076765017
P-256,137.3614047443903,177987.51580111837
P-256,139.04390330967163,180329.10001319865
P-256,131.3137272165285,170035.48806955706
P-256,138.587423547882,179594.16739800398
P-256,136.02734150388838,176105.3589107795
P-256,137.62521941970718,178206.33491858345
P-256,140.73040188045385,182336.58162129743
P-256,136.48273497300906,176775.92348512588
P-256,137.40360234853938,178155.79884469594
P-256,137.63462689294923,178337.22569408515
P-256,139.8864889092512,181350.00330310265
P-256,136.10638604254524,176377.93240318345
P-256,139.87341416648943,181161.2407656114
P-256,141.8402314398896,183831.66620056727
P-256,138.0843826922614,178812.02915707818
P-256,136.3302781920892,176678.89138584738
P-256,137.3198886671535,177884.50510362317
P-256,137.3340652083275,178024.63635917974
P-256,139.4900645316673,180641.18159607594
P-256,138.31772319927632,179178.94875902557
P-256,138.57432599808087,179623.89320477739
P-256,136.42679673268887,176796.973286984
P-256,136.964422926778,177393.20518892258
P-256,138.60506635755752,179839.03349053554
P-256,137.39534625490194,178121.01080764987
P-256,138.7983478227083,179939.21050014367
P-256,134.62556692417132,174433.4548512622
P-256,137.6975243512502,178393.89202495996
P-256,136.994523151848,177606.7038360898
P-256,137.51550406414495,178126.29134457285
P-256,137.82207437399316,178630.59854792888
P-256,136.79805839499426,177411.00120810556
P-256,138.81619632775804,179940.37179025944
P-256,133.65935278579514,173271.40723143987
P-256,135.52926474738462,175462.8472993701
P-256,131.68402467370004,170684.19476934074
P-256,132.30016013017735,171370.37346613157
P-256,140.15266265056255,181736.0359029383
P-256,137.32357881928968,178167.51066642246
P-256,139.79076761379196,181036.3806617401
P-256,137.7426746677845,178344.72736711704
P-256,139.07223296679237,180201.3058577321
P-256,137.70553827540073,178468.43793051428
P-256,135.3026306170518,175380.06176254308
P-256,139.32612908542464,180611.3356148937
P-256,135.76807315042865,175961.17182983682
P-256,138.13086498795244,178880.99780266636
P-256,138.96714275509188,180118.0084707947
P-256,135.93704661040078,176030.969431031
P-256,139.4325574027386,180662.67240431553
P-256,140.14643087118677,181530.56485793504
P-256,137.8202417596078,178710.09698979452
P-256,136.94434252192923,177444.25391992676
P-256,137.9298126628114,178570.86120829213
P-256,137.96657895167664,178676.61493678583
P-256,138.12557671126623,178984.66389125484
P-256,135.88967401314864,176044.53416436774
P-256,139.4063404749358,180652.84847489046
P-256,138.19773881133534,179045.5340371692
P-256,138.5907613228263,179527.78302169815
P-256,139.02695441600125,180170.66500363778
P-256,139.04410396727104,180030.09844773292
P-256,130.25972812578087,168718.92752453286
P-256,138.52582438597517,179528.36039537672
P-256,138.63785378929322,179759.09726477752
P-256,139.74555440669903,180944.35002404405
P-256,135.96560341728622,176169.11543186157
P-256,138.7785281213829,179748.09194509365
P-256,133.98890973324967,173757.86204344014
P-256,135.7500212227311,175770.99185469822
P-256,135.81128560666636,175804.84956337346
P-256,138.8459697433376,179837.21892154939
P-256,140.36151140494206,181763.219873285
P-256,137.74383070023563,178380.29432424917
P-256,138.48001174135447,179375.28485834398
